mean_accel_x,std_accel_x,max_accel_x,min_accel_x,mean_accel_y,std_accel_y,max_accel_y,min_accel_y,mean_accel_z,std_accel_z,max_accel_z,min_accel_z,mean_gyro_x,std_gyro_x,max_gyro_x,min_gyro_x,mean_gyro_y,std_gyro_y,max_gyro_y,min_gyro_y,mean_gyro_z,std_gyro_z,max_gyro_z,min_gyro_z,label
0.02025313555183947,0.05799094096001558,0.1632,-0.089826,0.0007091833110367893,0.05534883167648905,0.14836,-0.1307,0.016395619197324414,0.0694129488398032,0.17857,-0.17916,-0.02152722993979933,0.016276574288153264,0.017672,-0.063573,0.0008572108026755856,0.015413054100803224,0.032022,-0.044947,-0.007411191304347826,0.007617513797679677,0.013781,-0.028369,1
0.01765710523333333,0.03678778700050211,0.11148,-0.056273,-0.004296941933333334,0.03524088094208139,0.080122,-0.090314,0.024525366859999998,0.04952493907039226,0.16033,-0.082457,-0.017537944999999996,0.0058309417249710485,-0.0012645,-0.031197,-0.0003482055666666666,0.011709191616273918,0.022248,-0.027843,-0.004310656833333333,0.004937827178152416,0.0070616,-0.01493,1
0.016006433279069768,0.03613609999064995,0.096088,-0.079702,-0.006153459501661129,0.03888942758751558,0.10754,-0.094864,0.028686078172757472,0.05060237789598487,0.17205,-0.093203,-0.01913991747508306,0.009424142407203226,0.001179,-0.040971,0.0005711251827242522,0.012745649570808768,0.027746,-0.031508,-0.005171927607973422,0.0061090318741871255,0.0082833,-0.021038,1
0.022041276254180602,0.03864771637806157,0.11638,-0.052484,-0.003457426688963211,0.029929448744049562,0.076348,-0.071442,0.016351762006688964,0.04238868590354893,0.10902,-0.081119,-0.019723259290969897,0.009125374137239222,0.0097311,-0.039749,-0.001557661170568562,0.013208240775908068,0.060732,-0.027232,-0.005345687424749163,0.005367322346202812,0.0095051,-0.018595,1
0.01863478046511628,0.027583470006100758,0.098514,-0.062794,-0.003615551495016611,0.02752562979835324,0.080296,-0.086397,0.024879920132890365,0.031162461775586566,0.115,-0.091741,-0.02128909368770764,0.01316233088906091,0.0060659,-0.055632,0.0011576334551495013,0.00690112431453214,0.025913,-0.023567,-0.006375388172757475,0.00422645268552849,0.0040073,-0.017984,1
0.01762188998333333,0.029226620150498483,0.10215,-0.074883,0.003264052166666666,0.03141021904312026,0.097339,-0.10573,0.031959098836666665,0.035927841331109205,0.13077,-0.054293,-0.002746180033333333,0.012537703745369475,0.020501,-0.028369,-0.0051433559666666665,0.008886758079786028,0.019664,-0.02554,0.00047563851666666677,0.005823467201141165,0.012315,-0.01273,1
0.015288893133333334,0.0253939551842846,0.093712,-0.0519,0.007906894199999999,0.027651754173573056,0.073612,-0.077813,0.03420358766666667,0.03753471954726879,0.1211,-0.095537,-0.0053104257,0.009260249676734686,0.01317,-0.025925,-0.006355019999999999,0.007926732978838554,0.016609,-0.024929,-8.553369999999988e-05,0.005033473120370762,0.012315,-0.014563,1
0.017798933668896323,0.03681260261574946,0.13596,-0.08612,0.005236152826086957,0.03177136901446035,0.079423,-0.098362,0.03206792889966555,0.03801500154534418,0.1198,-0.07458,-0.006826884615384617,0.005601819112051581,0.0070616,-0.021038,-0.005549257224080267,0.007476502608537168,0.012944,-0.027373,-0.0002618385618729097,0.002582098691806136,0.008039,-0.0072326,1
0.020154411243333333,0.02907476710576426,0.11046,-0.043564,0.007743022039999999,0.02491200273351561,0.070545,-0.05152,0.028063441499999998,0.03009050526532468,0.1123,-0.072883,-0.004858092600000001,0.009418923987477349,0.01744,-0.02532,-0.0012625522133333338,0.006677251451224264,0.016408,-0.016579,-0.0007307011166666667,0.0031721564711372214,0.0068111,-0.010287,1
0.019130193335333334,0.03452451788289582,0.10372,-0.060615,0.006070245466666666,0.028329995827150952,0.084527,-0.078289,0.025225096366666665,0.03831011202784559,0.16481,-0.066369,0.0001262489333333333,0.011526104173673285,0.032712,-0.021044,-0.003479893133333333,0.008367707495530442,0.021295,-0.02452,0.0019486611666666665,0.004901410043958854,0.014142,-0.0090714,1
0.01873224790666667,0.03661306935473944,0.099947,-0.067287,0.008946965576666667,0.02858422876143194,0.093917,-0.065698,0.03403685709,0.036406999123880394,0.11486,-0.074189,-0.004357516033333334,0.008473634615069952,0.012553,-0.023488,0.0011993213299999997,0.011552383064507109,0.025571,-0.033683,0.0006353021333333334,0.002995401881028657,0.010476,-0.0078496,1
0.01923696786666667,0.03884041353768429,0.12267,-0.12369,0.006055731159999999,0.03175050992665689,0.10661,-0.069304,0.02307422207,0.04047360518510792,0.14446,-0.080392,-0.0020932305333333343,0.014005960126014278,0.018051,-0.035705,-0.004214964680000001,0.009381542355665058,0.021906,-0.026964,0.0013703703333333333,0.004777071687915534,0.017807,-0.0090714,1
0.020953169633333334,0.029625914741498754,0.10041,-0.041774,0.004996252433333333,0.03084839042756096,0.11955,-0.065974,0.021233406309999998,0.034174621054285835,0.10653,-0.055913,0.0007900463666666665,0.012689163639141252,0.036377,-0.024099,-0.0038301414000000006,0.0069275772725210585,0.011521,-0.020244,0.0014579290500000002,0.0035559939949640295,0.011087,-0.0072388,1
0.019187065813953488,0.036278932225890036,0.10735,-0.071211,0.008262651860465115,0.03147310262783169,0.079667,-0.072313,0.021094181461794023,0.03615292283164162,0.11289,-0.0887,0.003270656478405315,0.010678109620688181,0.027141,-0.024099,-0.002636371295681063,0.008503245703295612,0.013818,-0.027721,0.002506698710963455,0.0037581973448975086,0.014734,-0.0072571,1
